APR DRG Code,APR DRG Description
753,Bipolar disorders
141,Asthma
53,Seizure
203,Chest pain
199,Hypertension
139,Other pneumonia
134,Pulmonary embolism
463,Kidney & urinary tract infections
251,Abdominal pain
424,Other endocrine disorders
41,Nervous system malignancy
460,RENAL FAILURE
47,Transient ischemia
45,CVA & precerebral occlusion w infarct
760,Other mental health disorders
138,Bronchiolitis & RSV pneumonia
565,False labor
844,Partial thickness burns without skin graft
243,Other esophageal disorders
723,Viral illness
750,Schizophrenia
381,Major skin disorders
754,Depression except major depressive disorder
566,Other antepartum diagnoses
204,Syncope & collapse
140,Chronic obstructive pulmonary disease
560,Vaginal delivery
540,Cesarean delivery
254,Other digestive system diagnoses
54,Migraine & other headaches
52,Nontraumatic stupor & coma
58,Other disorders of nervous system
190,Acute myocardial infarction
136,Respiratory malignancy
893,HIV w multiple significant HIV related conditions
563,Preterm labor
756,Acute anxiety & delirium states
420,Diabetes
44,Intracranial hemorrhage
240,Digestive malignancy
244,Diverticulitis & diverticulosis
247,Intestinal obstruction
280,Alcoholic liver disease
241,Peptic ulcer & gastritis
194,Heart failure
751,Major depressive disorders & other/unspecified psychoses
775,Alcohol abuse & dependence
201,Cardiac arrhythmia & conduction disorders
144,"Respiratory signs, symptoms & minor diagnoses"
930,Multiple significant trauma w/o O.R. procedure
133,Respiratory Failure
131,Cystic fibrosis - pulmonary disease
249,"Other gastroenteritis, nausa & vomiting"
759,Eating disorders
226,Anal procedures
722,Fever
55,Head trauma w coma >1 hr or hemorrhage
758,Behavioral disorders
843,Extensive 3rd degree or full thickness burns w/o skin graft
173,OTHER VASCULAR PROCEDURES
842,Burns with skin graft except extensive 3rd degree burns
225,Appendectomy
23,Spinal procedures
589,Neonate bwt <500g or GA <24 weeks
690,Acute leukemia
564,"Abortion w/o D&C, aspiration curettage or hysterotomy"
890,HIV w multiple major HIV related conditions
242,Major esophageal disorders
380,Skin ulcers
221,Major small & large bowel procedures
720,Septicemia & disseminated infections
545,Ectopic pregnancy procedure
544,"D&C, aspiration curettage or hysterotomy for obstetric diagnoses"
757,Organic mental health disturbances
841,Extensive 3rd degree burns w skin graft
773,Opioid abuse & dependence
82,Eye disorders except major infections
224,Peritoneal adhesiolysis
892,HIV w major HIV related condition
73,Eye procedures except orbit
20,Craniotomy for trauma
175,Percutaneous coronary intervention w/o AMI
21,Craniotomy except for trauma
440,Kidney transplant
956,Ungroupable
740,Mental illness diagnosis w O.R. procedure
137,Major respiratory infections & inflammations
70,Orbital procedures
531,Female reproductive system infections
40,Spinal disorders & injuries
